"Title","Date","Rating","Review"
"Bright colour","2019-11-16","5","It’s awesome in colour, texture and smoothy."
"Miracle is right!","2019-09-23","5","I am obsessed with the miracle gel. especially the top coats.   I very frequently do my nails and the top coats keep any polish looking fresh for weeks.   I was so excited to see the matte top coat when it came out and use it a lot!  It's awesome"
"Long lasting pedi","2017-07-20","5","As soon as I got this product I tested it on my toes and it's still holding up! Hasn't chipped, looks shiny, love the color, and still lasting strong! Love that I don't need a light and can do this mani/pedi anytime, anywhere."
"Great color, long lasting!","2017-07-27","5","I like the soft color and the applicator brush, very easy to use.  The Miracle gel top coat is amazing, my polish has lasted so long!  I'm bring these products to my family gathering so that some of the women in my family can try it out too.  My mom-in-law is big into nail polish, I'm sure she'll love it!"
"Extremely Happy","2017-07-25","5","I've never used a two step polish before and it was great! Goes on super smoothly and dries very fast, doesn't get goopy or smudge as it dries. Very shiny, glittery and smooth on the nail. I've had the polish on for about two weeks and it hasn't chipped or come off. I was very surprised when it didn't chip off in the shower like normal polish tends to do. Very happy with this!"
"Pretty Good Product","2014-08-19","3","This is a good alternative to using gel polish with a led light. This product does not require that so its great! There is a great selection of colors and the polishes are relatively in the same price range as good quality polishes. Plus side of this product is it lasts about 4 or 5 days with no chips at all. Downside to this product is it is not as shiny as I would like after the top coat and it was a mess to remove, the polish smeared all over my skin with nail polish remover. All in all this is a product I would use again and would purchase. I received my polish for review purposes on Influenster."
"No Title","2019-02-09","4","I love a good highlighting concealer even more a great brand like maybelline. I got hooked a few months ago after trying a few products and now it's no looking back the age rewind concealer knocks 10 years off your wrinkles and has you looking as fresh as a daisy tell me who doesn't like that!"
"Disappointed","2020-04-11","2","My girlfriend was quite disappointed when she opened the lipstick to realize that the rosewood colour advertised was not matching the product received. The online picture showed a more rose/pink version of the lipstick, as the lipstick itself had a darker and more orange shade to it. Once applied, she felt it did not look good on her skin tone. She would have loved this lipstick if it would have been in a more rose/pink shade as advertised. The texture of the lipstick was indeed very rich and the fragrance was a bit strong. Disappointing"
"Llong lasting and chip resistant!","2017-08-24","5","Sally Hanson Miracle Gel & Top Coat is a great product! It's vibrant, long lasting, and does not chip easily. I would recommend it to anyone who is tired of having to reapply/redo their polish often."
"Lighest Shade too dark","2016-12-22","3","I really liked the coverage this concealer gave, but it did not brighten my under-eyes because it is too dark for me."
"3rd time","2016-12-21","1","3rd time trying to leave a review, apparently is not meeting the guidelines, which i dont get, i am not saying anything offensive. Heres my review: The shades are too Light and Pink, no options for medium or darker tones."
"Long Lasting Beauty","2017-08-26","4","I really enjoyed the color. The application took a couple coats of the Miracle Gel however the top coat was only one application of the Top Coat. I love how long lasting it stayed on. I loved how it looked and it made me confident in wearing the nail polish. I would definitely recommend this to everyone. And I will definitely purchase this product again."
"Easy nail color and shine","2017-07-24","4","When I applied the color it spread smoothly without bubbling. I was able to apply the second coat without trouble and as smoothly as the first one.  The top coat applied easily and smoothly too. It has a nice shine even though it looks a little rough. Would have preferred a more subtle color, but that is my personal taste. I hope it really lasts the fourteen days."
"Please add the sponge back!","2021-03-31","5","I have been using this product for 7 or 8 years and absolutely love it.  That being said with the sponge being removed the application/coverage is just not the same.  Please bring it back."
"Easy salon quality manicure at home.","2017-08-12","5","The manicure that I gave myself was as beautiful, smooth, and long lasting as a manicure from the salon. I received several compliments on my nails. It  went on smooth and evenly with very little effort and  just a few brush strokes. It left no streaks or lines. One coat completely covered each nail. The shape of the brush fans out on the nail for easy and perfect application. No constant dripping or mess. By the time I had painted my last nail, I was already able to apply the top coat. It did not smear the color at all. It was just as easy to apply and left my nails shiny and bright. There is no blue UV light needed to set the polish. The color did not chip or fade ever. It stayed as beautiful and fresh as the day I applied it until I removed the polish two weeks later. I would definitely recommend this set to anyone looking to get a salon quality gel manicure at home."
"No Title","2018-03-05","3","I loved the colors and the process when putting on the polish and Gel were very easy. The brush on the polish is shaped for easy sliding on the nail. The only thing I don't like is that it peels off easily. I put on the polish on Saturday and on Sunday it was peeling a little bit."
"Lipstick","2024-12-21","1","I do not like the quality of the product specially thre color"
"Great duo","2017-10-24","4","I received the color Birthday suit which is such a beautiful nude. The top coat gave it a great shine. The nail polish does go on pretty even and after two coats of the nail polish looks very pigmented. I have had it on for 3 days and it still looks good."
"Looks Like Cement","2016-12-16","1","Very disappointed with this. As women age,large pores,lines,etc can be a problem and I am surprised that this product is aimed towards mature skin because it actually accentuates these problems. It looks plastic and settles in every pore,line and wrinkle. Terrible!"
"Where is the applicator???","2021-03-30","4","Last two I have bought the applicator sponge is missing! Why? I have been using this product for years but now may look elsewhere! Very disappointed"
"Easy to apply","2020-12-07","4","I probably should have gone with a lighter shade! Otherwise it is easy to apply and is not heavy on the skin either"
"New Color = Beautiful Nails","2017-07-16","4","Very easy to use. Quick to dry. The top coat is nice and shiny and it does appear like a real gel manicure. It was great having this trial because I used a color (Terra-Coppa) that I normally would not have purchased and I like it a lot! Color is vibrant, super fun and different.  Would definitely recommend this nail polish line to friends and family."
"Maybelline","2020-12-07","5","Yes it was my exact color and and went on smooth love it ."
"This is great","2020-12-07","5","I love love this its great . I will be buying more this and going get my friends try it"
"great smooth coverage","2020-12-07","5","Glided on smooth and blended well. Matched well to my complexion"
"Great color","2017-07-24","4","Well, I'm not a huge fan of putting gel on my nails because it's harder on my nails to remove, but I did really like the color of this polish even though not what I would normally wear; It went on nice and evenly, took a little longer to dry than I would expect, but I liked the fact that the top coat completely protects the polish itself."
"Do try","2017-07-22","5","I had received this to try I must say, I was very skeptical about about the hold up of this product . I never painted my nails with miracle gel I really thought  this would chip however , to my suprise I absolutely love it and the color also . When using the nail polish and top coat here it is a week later and my nails still look the same how I had  painted them ! Definitely would recommend and get all the colors they are beautiful!"
"My new ride or die","2017-10-24","5","Sally Hansen miracle gel is my new ride or die! With such beautiful colors, such a strong and shiny top coat, this is going to be my go to polish. So long salon prices! I'm saving money with a nail polish that looks professional!"
"No Title","2020-06-12","1","The gel polish from sally hansen when used with the top coat peels right off. I am not sure if I have used it incorrectly, but I am so disappointed. Does anyone know if it works better with the UV light? I want an at-home gel polish but this one did not work out."
"Anastasia Beverly Hills eyebrow dip","2022-07-15","5","Using this for 4 years and Litearly fills my eyebrows perfectly and such a great colour it's also smooth so very smooth to apply"
"GOOD UNTIL IT DRIES OUT","2023-01-19","3","This is a great product until it dries out! Once it dries out it gives a very “caked” look to your brows. It lasts forever though and is great for the summer!"
"Pomade","2023-06-09","5","I absolutely love this! It's perfect for a full changed brow look or it's perfect for if you just want to infill your own brows. It seems to 
stay on for a very long time which is always a win."
"All my smooth","2018-10-16","5","Received this lip stick as a sample.  It was so silky smooth and my very dry lips felt so moisturised. I don't find it to be particularly long lasting"
"Gorgeous colors, but does not last long","2016-06-17","3","I love the huge array of available colors (I own 15); however, I was expecting and hoping it would last longer. Even when following directions exactly, they chip dreadfully within a couple of days. I don't have the time to redo them as often as I would need to. Works super well on toes though! You don't use them as much so they take much longer to chip off. :) In the pic, these were only painted two days ago."
"Great polish, but not long lasting","2017-07-20","3","Miracle Gel and Topcoat goes on easily and comes in very attractive colors. However, it chips very easily and does not seem to have staying power on the nails at all.  I kept on having to repaint my nails, on an almost daily basis."
"Sally Hansen Miracle Gel Review","2017-07-22","3","I received Sally Hansen's Miracle Gel & Top Coat in Game of Chromes. I expected silver from the description, but it's Gold. I did a mani-pedi and after 2 days my fingernails are already chipping. My toenails still look good and I expect they will for the 2 weeks this product is supposed to last, but I don't see any difference between the Gel Polish and regular polish."
"Where is the light/medium???","2016-12-02","4","I love this concealer but I can no longer find my color 225 which is a yellow base and falls right between light and medium. I tried every color and none work for me. please consider bringing back this color!"
"EH","2016-11-30","3","I bought this about a month ago. It does not cover my dark circles and creases. It works for my friend, but for people with DARK circles, don't waste your money"
"The Perfect Combination!","2017-07-27","5","Great quality and a nice color for the season.  My nails never looked better.   The miracle Gel does wonders combined with the top coat.  My nails became stronger and the polished last for days, without any chipping."
"The best foundation ever","2025-05-11","5","This is, by far, the best foundation I've ever used. I've used everything from estee Lauder & dior to Maybelline and never loved any of them. Milani foundation is so good- Great coverage, perfect shade, non-drying. Most people can't even tell I'm wearing any. I'll always buy this!"
"Pretty color! Easy to apply.  Lasts long","2022-08-17","3","This nail polish is fairly easy to apply, it would be easier if the polish brush wasn't so thick. But I made do and figured it out fast. The color I received was Sugar Fix and it's very pretty shade of baby blue. It lasts a long time! Definitely lasts longer than some of the other nail polishes I've used. It's easy to remove for a gel polish. I will buy it."
"Just perfect","2017-10-24","5","Easy steps to follow for a durable and beauty result. No need to spend more in the salon when you can do it yourself in the comfort of your home anytime. The variety of color goes perfect with any ocation."
"Beautiful color","2017-07-15","5","I have two teenage daughters. They also used this nail polish. I have had so much trouble with other nail polish going on gloopy, this product went on smoothly! The color is so beautiful. My husband even noticed and complimented the color. We were all surprised how quick this dried. We are all three happy with this product and will be purchasing other colors this weekend."
"At home manicures","2017-11-15","5","After I had my son a couple years ago I decided going to the nail salon wasn't a top priority anymore due to our finical situation. I then began doing my nails at home. I love doing my nail but I hate that I can barely find a nail polish that doesn't chip after a day or two. I really actually was suprised this product worked and didn't chip until about 5 days later. For the drug store price it's definitely worth it and I will be repurchasing."
"Easy to use Nail Polish!","2017-11-03","4","The color stayed on for a week with no chip until I remove it. The color itself Birthday Suit is too light for me since I'm really tan. Its a light tanish beige color. The con I have to wait at least 20 to 30 min to dry. I applied 2 coats with the top coat because with one coat is too sheer. Overall i do like it but not love it becausr it took forever to dried. Especially having two youngs kids i have a busy life I'm always on the go."
"No Title","2025-05-11","5","just make it but I'm very well and it looks good one to this life"
"Best product","2020-12-07","5","I would definitely suggest this product since it’s so easy to use."
"Great Coverage","2020-12-07","5","The color is perfect for my skin and it covers blemishes and dark eye circles while leaving my skin looking less wrinkled."
"Great","2020-12-07","5","Love this so much! It covers perfectly! I will be recommending to friends!"
"No Title","2018-04-21","5","A money saver 
I, like many girls like to save money. The gel line is just that-money saved with salon quality nails.
I love the applicator-thick.
The gel is smooth and not sticky.
Even the colors, no matter which you choose, is great.
Sally gel is my choice for that flawless look."
"I received the wrong color","2022-04-08","5","This is my favorite brand and type of lipstick, but I received the wrong color so I gave it away. It's too bad I live so far away from a bigger city, not sure I want to waste my time reordering if I might get the wrong color again."
"No Title","2019-08-08","5","I looooove this little bottle of top coat. It give you a high shine, dries quickly, and helps your nail polish last longer. I have bought several bottles of this in the past and would highly recommend. It goes on smooth and helps keep my nails from breaking or peeling."
"Doesn't look good on me","2020-01-14","3","I don't really want to say this is a bad product, it just wasn't good for me. Being a matte finish, it's not very smooth, in fact kinda sticky. I should have thought it through before I bought it."
"Perfect Gel Polish","2017-10-24","5","I received this beautiful Terra Copper nail color from Home Testers Club in exchange for my honest opinion. I love gel polish and this was perfect especially without the need of UV light. The color was a little dull at first but after the 2nd coat and the gel top coat it really brought out the color. This color is perfect for fall and halloween."
"Best nail polish out there!","2017-07-22","5","I have been wearing it  all week and it has been wonderful. My nail polish usually chips within a day and I did not have that problem with this nail polish. I will be buying more colors for this style. Definitely a keeper. Thank you for a chance to test it!"
"No Title","2020-03-29","3","For some reason I can't get this color to set. I paint my nails I wait 20+ minutes, and it will feel dry to the touch. Once I put the matching clear coat on top it won't dry and goops up. I've had it set correctly 2 times. I know it's not the top coat because it works very well with other polishes."
"Aweosme","2020-02-28","5","I love the shade of this color and it is so moisturizing. would definitely recommend it."
"Perfect healthy glow","2025-05-08","5","I get compliments on the way my skin looks all the time. I love how it gives me the coverage I need without being to heavy. and the dewy finish gives me a healthy younger look."
"My favorite concealer","2020-11-26","5","It doesn’t last as long as Tarte’s, but this color blends best with my skin tone. I like the convenience of the applicator!"
"Effective","2025-04-22","4","Packaging was very nice. I liked the texture. It wasn’t cakey or sticky. There was a slight scent which was a nice scent. The shade was nice I had berry blush and it lasted a long time."
"No Title","2020-02-04","5","I really love this polish. I tend to keep my hands busy and when I'm doing something I really go for it. With that in mind, I struggle to keep nail polish on for longer than a few hours. This stuff though I can manage to keep looking nice for multiple days. I have noticed you need to be really patient when splitting"
"Pinky promise!!!!","2017-10-26","5","I tried the Sally Hansen miracle gel and topcoat in Pinky Promise. I absolutely love this color. Pink is my favorite color so I was super excited to try it on my nails. I love the way the polish goes on smoothly and even without the topcoat it still has a nice shine. The steps were super easy and after putting the top coat gel I was extremely satisfied with the overall appearance. I showed my nails off to all my friends. From now on I will be most definitely buying all the Sally Hansen miracle gel products."
"Best polish ever!!!","2017-07-14","5","I loved this gel polish. The color and shine is amazing. I love the fact that I didn't have to apply a separate top coat and it dries so fast. The polish is good for two weeks without a touch up coat."
"Really Nice","2022-10-07","5","Lots of product that will last a long time. Buildable coverage.

Only con is that this product will dry out over time, but it really provides a nice definition and fullness"
"Great Polish!!","2017-07-19","5","I tested the Pinky Promise color Sally Hansen Miracle Gel & Top Coat, I really loved the color, so did my two daughters 17 and 16 yr. It's great that the top coat secures the color and so far it's lasting longer than my regular polish. Bonus is that you don't to go to a profession, the polish does everything on it's own. great stuff!"
"Holy grail","2023-01-19","5","This is my holy grail eyebrow product! I always have a good brow day if I use the dip brow pomade."
"Very pleased with this polish","2017-08-13","4","I was very pleased with the smoothness of the application and the quick drying time.  The polish and top coat wore very well and lasted when other polishes would have chipped off and needed to be reapplied."
"No Title","2018-05-03","5","This is one of my favorite polishes. It lasts a long time. A little on the expensive side, but the quality of it is worth it. I like all the colors, especially “let's get digital”, and there's another rose gold color that's my favorite. I would definitely buy again and recommend."
"Gel Fingers!!","2017-10-24","5","So, it's just like regular polish BUT, I put on two coats of the color and one layer of top coat, and it is SO SHINY and it actually dries really quickly and nicely. And, surprisingly, it doesn't smell too badly either! It looks really great and I am definitely gonna buy a different color polish to use with the top coat :) The Terra Cotta color looks like it would be really awesome."
"Skeptical then satisfied","2017-07-24","4","The only thing I didn't like was that even with two coats applied, there were spots where the polish was streaked and had bare spots. I liked how fast the polish dried. I work in childcare and wash my hands a ton during the day. I've had it on for five days with no chipping or wearing off at the tips of my nails. The shade of pink is very nice too."
"Color was great, topcoat not so much.","2022-08-04","3","So I loved the color! But the topcoat left me not so happy. It's supposed to be a sugar topcoat, so that it gave it a textured look.  But it made my nails feel like there was sand in there. I wasn't really impressed with it. But I can say that it lasted a good 2 weeks in my nails without chipping."
"No Title","2021-05-10","5","Hey have tried Anastasia Beverly Hills eye shadow, I like the texture and healthy glow."
"No Title","2019-10-30","4","Such a good colour, and the product lasts forever totally worth the money, great bang for your buck"
"Need to listen","2016-11-27","3","You need to listen to and heed these reviews. The product is great. It did a very good job of covering the large dark spot on my face. Much better than the more expensive products I've tried. But I only got about 3 applications from the very poor twist applicator. Then it stopped dispensing the concealer. I tried getting the top off to apply it manually but couldn't do it. So PLEASE. If you change the applicator I'll definitely buy it again."
"THERE IS NOT A SHADE AVAILABLE FOR BROWN SKIN","2016-11-09","1","Why is there not a shade available for people of a darker complexion?"
"Love for toes","2022-08-03","4","This polish is great!  It really looks like gel and looks great on my toes. It is nice and thick which is honestly the look I like but isn't everyone's cup of tea. The color is very opaque and 2 coats works great. It does need a top cot to be shiny but it is self leveling so very easy to apply."
"Sally Hansen Miracle Gel First Time Use","2017-07-26","4","The Sally Hansen Miracle Gel went on easily and perfectly smooth. I applied the top coat over the gel coat and got a super shiny finish. It dried fairly fast and looks amazing. The gel polish is just the right consistency and isn't runny. There was no clumping  when applying a second coat of gel. I will definitely be purchasing more of this product in other shades."
"So Pretty","2022-08-04","5","I tried this Sally Hanson Miracle Gel in the shade Sugar Fix and the color is beautiful.  What I like most about this product is the wide brush. It makes it so simple to polish your nails. My polish lasted for 2 weeks without chipping.  I definitely recommend this product."
"Clear & Quick & Pizzazz!!!","2017-10-27","4","I received Terra-Coppa to experience. Not necessarily a color for me.  However, the formula of the polish is very much to my liking. I do my own nails and the consistency was perfect. Not too thick and not too thin.  The nail coverage was smooth and complete. It dried quickly and drama free of any smudges or smears. The top coat dried clear and quick as well.  Bonus, these products do not need UV light.
Win win."
"Salon quality manicure at home!","2017-08-11","5","I love this nail polish!  You get deep, rich color without having to apply layer after layer of polish.  The top coat provides excellent protection.   My manicure has lasted well past the 14 day mark.   I would highly recommend this polish to anyone who wants a salon quality manicure at home."
"No Title","2020-05-09","5","So I purchased this gel set with everything going on during covid and not being able to get my nails done. I must say it holds up very nicely without chipping. Mine last me about a week. I apply 2 or 3 coats of the color and then 2 coats of the top coat and let it dry for a good 20-30mins. I highly recommend it to anyone wanting to do their own nails but also not wanting the polish to be chipped after a few days. This stuff is great!"
"Great on mature skin","2025-03-24","5","Just tried today.  The color match was perfect using their shade test.  I had barely prepped my skin.  I opened it up as soon as it arrived and just slapped it on.  Hours later still looks great!;"
"Very satisfied","2025-03-11","5","I bought this and I am very happy with this product"
"The best","2025-03-09","5","Great makeup love how it hides all your imperfections"
"The best tiny stick for a bit of color","2025-04-21","5","Love love love this tint stick- it adds the perfect amount of color and the shade seems to work perfectly with my skin. It’s not too hard or dewy- perfect consistency. Would highly recommend"
"Great","2025-03-11","5","I believe it’s my first time trying this brow lift pencil. I am very happy with how it applies, it’s the perfect ash brown shade for my brows. The pigment is just enough. I’m a fan."
"Good product & color, chips in 2 days.","2017-08-15","4","I've always been a fan of Sally Hansen nail products and was not disappointed by the Miracle Gel & Top Coat. This was a lovely color and a great shine from the gel-like topcoat and I enjoyed it. I will admit to some disappointment, I had hopes that the gel-like topcoat would prevent chipping, but it did not last any longer than any other of the Sally Hansen products I have. Trust me, that won't stop me from buying more colors though!"
"Get salon results at home only 2 steps.","2017-10-30","5","I have achieved salon results from the comfort of my home.  I really loved this polish not to mention I applied it in 2 easy steps.  It only required one coat of each the polish and top coat.  In addition, It dried really quickly without sitting my hands under a light.   Furthermore, the shine that the top coat provides is amazing.  I"
"Better Than Regular Polish","2017-10-26","4","I thought it applied really well, especially love the wider brushes. It was really easy, just apply two coats of color and then the top coat. It really looked like a professional gel manicure (except the natural slip ups when painting my dominate hand!) It did last longer than regular polish, but not too long without getting chipped. I would say I got about 3 days without chipping (compared to less than a day with regular polish.) Overall I really enjoyed Sally Hansen Miracle Gel and the convenience of a gel manicure without the special lighting."
"Long lasting non chip nail polish","2017-07-17","5","Unlike other nail polishes that chip so easily, this didn't. I also loved how smooth and shiny this made my nails look."
"Goes on nicely and stays on a long time!","2017-11-15","4","The nail polish went on very nicely. It dried rather quickly and had a beautiful shine. The only disappointment was that at about day 9 it did start chipping and peeling. But that is still way better than my normal nail polishes!"
"No Title","2020-06-06","4","Love this shade. Really pops with my skin tone. And it didnt take many coats for the polish to stay on my nails. It stays on for weeks as well if you take care off them well. Definitely recommend this for nail art fans."
"fast drying","2017-10-24","4","it dried very quickly. I like that you didnt need the lamp . I have had it on for a few days and no chips yet, I work with my hands all the time and normal polish never stays on as long as this has. so for the first time trying this i give it a thumbs up"
"Inaccurate color. Freaky weird. Unusable.","2019-07-13","2","Bad color"
"No Title","2020-02-05","5","I've only used the clear top coat Miracle Gel Nail Polish. I don't like the colored polishes because I find that they take too long to dry; however, the clear coat on top of a normal polish allows for my manicures to last longer than usual before chipping!"
"Great quality","2017-08-17","4","I bought this a few weeks ago for the first time, at first I held out on buying it because it is pricier than other nail polishes, but it was worth the buy. The nail polish lasted a long time without chipping and the gel effect looked great. Worth the buy."
"SALLY HANSEN MIRACLE GEL... a must have.","2017-10-24","5","I loved my Sally Hansen Miracle gel and top coat. I usually get no chip manicures so I was sceptical but I've had it on for 4 days so far and it still looks fresh. I've worked, washed dishes cleaned the house and they still look like I just came out of the salon. Love it"
"Beautiful coverage!","2025-02-16","5","First experience. May have to go a little lighter. Beautiful coverage similar to double wear by estee lauder.*****"
"Perfect shade, coverage %26 consistency...","2025-02-11","5","Perfect shade and solid coverage without feeling too heavy.  It's not too drying or too moisturizing."
"Great formula. Horrible applicator","2020-11-25","5","I rarely find concealers I am happy with, and LOVING this one. IMHO this product is best for under-eye, not blemishes. It brightens & sinks into skin. Extremely minimal creasing (which I always have an issue with, probably cause I'm not great at doing the powder thing). But I can't see how everyone can be happy with the applicator. Very unhygienic. When you click for more product, it takes a while to actually come out. You would have to have the product already sitting there in the sponge, prior to use. Per the Youtuber I saw recommend, I ripped off the sponge. After use, I do one click so its ready for the next morning. A proper fine tip tube would be better. Added a photo of sponge ripped off, if anyone was curious."
"No Title","2020-11-22","4","Needed a new concealer and found this one highly recommend on TikTok. Normally I get a little creasy under my eyes but so far not seeing that with this product!"
"Love it","2017-10-24","5","I got to try sally Hansen miracle gel and top coat for free from home tester club. I like the color of the nail polish because it is a pretty color. I like how the color looks on my nails. The top coat is very good because when I put it on my nails it makes the nail polish color stay on my nails."
"Amazing coverage","2017-07-14","5","It is rare to find truly innovative nail polish, but Sally Hansen has done it.  Not only is this product as good as gel polish that requires light to cure, but the coverage is amazing.  First of all, the polish just seems higher quality and more color-saturated than other polishes I've tried.  It also has this amazing brush - it's thick and double wide and makes polishing a snap.  And seriously, you can get away with one coat!"
"No Title","2019-07-13","5","A last forever and it's really easy to use it can be a little expensive but again compared to other brands there are a lot more expensive than this one but it lasts a long time and it's just a really good brand that I go to I definitely would recommend"
"Lots of Simmer","2017-10-24","3","The Terra Coppa was super shimmery, especially after adding the gel top coat. I work in a pre-school, and at home and within 24 hours, even following the directions my tips were showing wear. However, I didn't have any chipping and the color was very vibrant."
"Like this product","2017-06-22","3","Only put on 1 coat of color the the first time I used this. Color last about a week. I was thrilled! Used 2 coats the second use and it started coming off the tips. Like the product and will use again just not weekly. Curious to see how my nails hold up with use of product and acetone remover."
"High Quality Product","2017-07-19","5","I can tell these are high quality. They went on easy and looked beautiful when I was finished. I asked my spouse how it looked and he even liked it. I received both bottles free for testing purposes and this is my own honest review."
"Beautiful","2017-08-23","5","I loved it. It made my nails so nice and pretty and I got lots of compliments on the color and I've bought several colors since receiving this sample. I've also recommended my friends to buy this product as well."
"2 and 1 foundation","2025-01-26","5","Love this foundation I get so many compliments.
Out is flaw less."
"Super product!","2016-11-05","4","I have purchased this product 3 times now and in between bought other concealers and of course they are not used. I keep going back to this amazing concealer. IT covers and highlights my undereye circles and any blemishes I have. Love love love"
"No Title","2020-08-02","4","All Sally Hansen nail products are amazing. Some colors require a few layers for the desired color and they occasionally can be a bit pricey for nail polish but other than that I love it."
"Doesn't last","2017-05-22","2","I tried this hoping it would last longer than regular polish, but it is about the same. 3-4 days and I work in an office.  Last longer on toes and works well there, but not on fingers."
